INTERNAL — Factory shell vs Miguel US$80/sf — Lot 127 PT190249 and Lot 115 — NOT FOR CUSTOMERS

#,Factory packing-list item,What is IN THE SHELL (factory 40HQ),What Miguel lists at US$80/sf,Verdict,Pay twice?,Ask Miguel before signing,Lot 127 / Lot 115 note
1,Container house frame 6000 x 2438 x 2591 mm (dry unit),"Steel floor + 18 mm fiber-cement + 1.8 mm PVC. Roof: 0.4 mm color steel both sides + 70 mm injected PU + PVC conduit/cable + outdoor power socket. 4 columns, 4 x 50 mm PVC downpipes. Electrical: 2 LED, 1 switch, 2 sockets, 1 distribution box, prefab cables in roof and wall. Main structure HDG 3 mm fully welded. Steel AZM100 g/m2 + PE 20/5 um.",Does not supply the frame. He sets and finishes it.,IN SHELL,NO,Confirm he does not substitute a different floor or strip the PU roof.,This is one 20 ft module. PT190249 uses TWO stacked. Lot 115 spiral is a different overlay on the same class of box.
2,Container house frame WITH TOILET 6000 x 2438 x 2591 mm,"Same as #1 plus wet-room floor 2.5 mm anti-slip PVC. Electrical: outdoor power, 2 long LED + 1 round LED, 2 switches, 3 sockets, distribution box.","Does not supply the wet module. Finishes the bathroom (tile, mahogany door, fixtures if he replaces ours).",IN SHELL,NO,Which module is the wet pack on PT190249 (upper full bath / lower half bath)?,Factory already built the bathroom box. Miguel tiles and may swap fixtures.
3,Container house frame with WPC deck floor,"Steel floor + WPC deck. Roof same 70 mm PU. Electrical: 2 LED, 1 switch. HDG frame.",Not listed.,SKIP,NO,—,"This is a deck-floor variant. Lot 127 default has no ground deck. Lot 115 teak deck is Pletz, not this WPC cassette."
4,Outside wall panel — 75 mm TPS sandwich,"75 mm TPS, 0.4 mm steel both sides, TPS 25 kg/m3. AZM100 + PE 20/5 um.",Prime and paint the house. Insulation upper and lower.,IN SHELL,NO — do not re-panel,"Is his paint a coat on this PE finish, or is he wrapping/replacing panels?","Envelope is already insulated and factory-coated. Cream marine paint on exposed steel was a separate KDK line ($4,800) — ask if that is still extra."
5,Inside wall panel — 50 mm TPS / rock wool,"50 mm sandwich, 0.4 mm steel both sides, aluminum U-profile top and bottom. Rock wool 25 kg/m3.",Insulation upper and lower.,IN SHELL,NO — unless foam is additive,"Is insulation upper and lower extra spray foam ON TOP of 70 mm PU roof + 75/50 mm walls, or is he describing the factory sandwich?","If it is extra foam, that is new value. If it is the factory walls, it is already paid in FOB."
6,Door 1 — steel entry door M1 930 x 2080,One steel entry door per design.,Not listed as a door type. Sliding glass is his window option.,IN SHELL,NO,Keep factory steel entry unless he is hanging sliders in that opening.,"Lot 127 ground floor is two-panel sliders to the patio — that is Window 2 / aluminum combined, not this steel door."
7,Door 2 — interior sandwich-panel door M2 700 x 2000,"Hollow/sandwich interior door, factory finish.",Mahogany interior doors.,UPGRADE,NO — he REPLACES this,"How many mahogany doors, which openings, stain vs paint, locksets?",This is a real upgrade over factory M2. Count bedrooms + baths on 127 (2 / 1.5) and 115 (2 / 2).
8,Door 3 — aluminum toilet door 700 x 2000,Aluminum wet-room door.,Mahogany interior doors (may include bath doors).,UPGRADE,NO — he REPLACES this if mahogany includes baths,"Does mahogany include the toilet door, or keep factory aluminum in wet rooms?","Aluminum is smarter in the shower room. Recommend keep factory #8, mahogany only on dry rooms."
9,"Window 1 — PVC sliding + flywire 930 x 1100, single glaze","PVC slider, insect screen, single glass.",Windows could be storm-guard aluminum louvers OR glass sliders.,ASK,YES if he supplies a second set,"Use factory openings. If he wants louvers or impact glass, that is a swap, not an add.",Do not buy a second window package. Factory already has sliders + flywire.
10,Window 2 — aluminum frame combined window 2300 x 2450,Large aluminum combined unit — this is the big glass opening.,Glass sliders (his option).,IN SHELL,YES if he orders another slider wall,"Confirm the 2300 x 2450 IS the Lot 127 two-panel slider. If yes, he finishes/weathers it, he does not buy another.","This is the money opening on PT190249. Protect it, do not duplicate it."
11,Window 3 — PVC slider frosted 800 x 550 + 5 inch PVC vent,"Frosted bath/vent window, single glaze.",Not specifically listed.,IN SHELL,NO,Keep for wet rooms.,Factory bath privacy glass. Leave it.
